labels,train_recall,test_recall,mean_difficulty
airport,0.9293042298667425,0.446509009009009,0.5633331024652437
bus,0.969979759366619,0.5129068462401796,0.4067631554158066
metro,0.9656491540006532,0.6425364758698092,0.4229864687484465
metro station,0.9441692876991198,0.42143658810325474,0.6191154956009959
park,0.9753519626226733,0.6694725028058363,0.19672595029190557
public square,0.9204859427664482,0.32996632996632996,0.7449063122394733
shopping mall,0.9513830394231495,0.44219977553310885,0.4551452271355328
street pedestrian,0.91202413167206,0.3434343434343434,0.8103412787398087
street traffic,0.9692100011791561,0.7295173961840629,0.27281415873350345
tram,0.9675417694426723,0.48198198198198194,0.5120360331678383
