run_name,accuracy,uar,f1,train_loss,dev_loss,best_iteration,test_accuracy,test_uar,test_f1,test_loss
DCASE2020Task1A-16k_Cnn10_Adam_0.001_32_epoch_100_None_None_1,0.5755189692197566,0.5596140854120794,0.527196648847983,0.0455721327209277,2.6987001350770394,83,0.5434636118598383,0.5434866684866686,0.5346306084211598,3.0867477949470916
DCASE2020Task1A-16k_Cnn10_Adam_0.001_32_epoch_100_None_None_2,0.5548478414720452,0.5832049449100448,0.5622962204361343,0.0629391014521453,2.059580570680302,58,0.5313342318059299,0.5312881062881064,0.5311542328889204,2.5756145903563246
DCASE2020Task1A-16k_Cnn10_Adam_0.001_32_epoch_100_None_None_3,0.5841446453407511,0.5621343618846575,0.526346562814014,0.1139992273778521,2.0643167343476545,42,0.5020215633423181,0.5020327145327146,0.49907946012879567,2.4875843483716884
DCASE2020Task1A-16k_Cnn14_Adam_0.001_32_epoch_100_None_None_1,0.5189692197566214,0.5033939363509503,0.4811255818504026,0.4093691185875097,1.5458104482748445,27,0.49629380053908356,0.4962496587496588,0.49466869077707665,1.7683912179571517
DCASE2020Task1A-16k_Cnn14_Adam_0.001_32_epoch_100_None_None_2,0.5364472753007785,0.5969770942037471,0.5465428607695463,0.0602147064877332,2.4669292105118865,98,0.47035040431266845,0.47029870779870786,0.4664309505997598,3.0629201819922063
DCASE2020Task1A-16k_Cnn14_Adam_0.001_32_epoch_100_None_None_3,0.5055632823365785,0.4992870996864068,0.4608312834039612,0.1622354152840467,2.27731398873679,49,0.4686657681940701,0.4686208936208936,0.468314820932427,2.5440169777324857
SpeechCommands-16k_Cnn10_Adam_0.001_32_epoch_100_None_None_1,0.9676385131750326,0.9642013940412466,0.9648131763891586,0.0081826639502531,0.2671569754169425,95,0.9660154475238528,0.9606858679634634,0.9627339393610904,0.2397649721367799
SpeechCommands-16k_Cnn10_Adam_0.001_32_epoch_100_None_None_2,0.9668369902815348,0.9639170113402984,0.963754830642575,0.0089631254405562,0.2494604595938116,93,0.9674693321217628,0.9623164027355098,0.9637923234917685,0.2191319995741058
SpeechCommands-16k_Cnn10_Adam_0.001_32_epoch_100_None_None_3,0.9688407975152792,0.9658815216830778,0.9657112569834356,0.0127552280395766,0.2265705830218757,70,0.9681054066333484,0.9638575935429994,0.9644200862519255,0.19627820011403385
SpeechCommands-16k_Cnn14_Adam_0.001_32_epoch_100_None_None_1,0.9642320408776676,0.9615952019849108,0.9603915558852424,0.012112482300898,0.2986003480606731,96,0.9616537937301227,0.9565915522474553,0.9582314348060442,0.27571539744658974
SpeechCommands-16k_Cnn14_Adam_0.001_32_epoch_100_None_None_2,0.9652339444945396,0.962954968344946,0.9622740241160836,0.0112141015965887,0.3033356537453504,85,0.9639254884143571,0.9595760388892381,0.9599223987769806,0.24316799743923048
SpeechCommands-16k_Cnn14_Adam_0.001_32_epoch_100_None_None_3,0.962929566175734,0.9581435895390392,0.9599322706197004,0.0224004021197134,0.2823120482064734,74,0.9621990004543389,0.9562266869230485,0.9582819285858903,0.276049407197138
